,location,iso_code,date,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million
632,Wales,,2020-12-22,,,,651.0
633,Wales,,2020-12-23,,,,630.0
634,Wales,,2020-12-24,,,,610.0
635,Wales,,2020-12-25,,,,589.0
636,Wales,,2020-12-26,,,,568.0
637,Wales,,2020-12-27,35543.0,,1.13,547.0
638,Wales,,2020-12-28,,,,559.0
639,Wales,,2020-12-29,,,,571.0
640,Wales,,2020-12-30,,,,582.0
641,Wales,,2020-12-31,,,,594.0
642,Wales,,2021-01-01,,,,606.0
643,Wales,,2021-01-02,,,,618.0
644,Wales,,2021-01-03,49428.0,,1.57,629.0
645,Wales,,2021-01-04,,,,747.0
646,Wales,,2021-01-05,,,,865.0
647,Wales,,2021-01-06,,,,983.0
648,Wales,,2021-01-07,,,,1101.0
649,Wales,,2021-01-08,,,,1219.0
650,Wales,,2021-01-09,,,,1337.0
651,Wales,,2021-01-10,,,,1455.0
652,Wales,,2021-01-11,86118.0,,2.73,1455.0
653,World,OWID_WRL,2020-12-14,297.0,-7862988.0,0.0,
654,World,OWID_WRL,2020-12-15,1529663.0,-6333622.0,0.02,
655,World,OWID_WRL,2020-12-16,1532183.0,-6331102.0,0.02,
656,World,OWID_WRL,2020-12-17,1535701.0,-6327584.0,0.02,
657,World,OWID_WRL,2020-12-18,1539115.0,-6324170.0,0.02,
658,World,OWID_WRL,2020-12-19,1540452.0,-6322833.0,0.02,
659,World,OWID_WRL,2020-12-20,2755586.0,-5107699.0,0.04,
660,World,OWID_WRL,2020-12-21,2843173.0,-5020112.0,0.04,
661,World,OWID_WRL,2020-12-22,2915275.0,-4948010.0,0.04,
662,World,OWID_WRL,2020-12-23,3417748.0,-4445537.0,0.04,
663,World,OWID_WRL,2020-12-24,3513438.0,-4349847.0,0.05,
664,World,OWID_WRL,2020-12-25,3556040.0,-4307245.0,0.05,
665,World,OWID_WRL,2020-12-26,4531063.0,-3332222.0,0.06,
666,World,OWID_WRL,2020-12-27,4993687.0,-2869598.0,0.06,
667,World,OWID_WRL,2020-12-28,5352041.0,-2511244.0,0.07,
668,World,OWID_WRL,2020-12-29,5601094.0,-2262191.0,0.07,
669,World,OWID_WRL,2020-12-30,6575525.0,-1287760.0,0.08,
670,World,OWID_WRL,2020-12-31,9866418.0,2003133.0,0.13,
671,World,OWID_WRL,2021-01-01,9991726.0,2128441.0,0.13,
672,World,OWID_WRL,2021-01-02,12344034.0,4480749.0,0.16,
673,World,OWID_WRL,2021-01-03,12933650.0,5070365.0,0.17,
674,World,OWID_WRL,2021-01-04,13743420.0,5880135.0,0.18,
675,World,OWID_WRL,2021-01-05,15267196.0,7403911.0,0.2,
676,World,OWID_WRL,2021-01-06,16245840.0,8382555.0,0.21,
677,World,OWID_WRL,2021-01-07,17449235.0,9585950.0,0.22,
678,World,OWID_WRL,2021-01-08,18878914.0,11015629.0,0.24,
679,World,OWID_WRL,2021-01-09,23637842.0,15774557.0,0.3,
680,World,OWID_WRL,2021-01-10,23944912.0,16081627.0,0.31,
681,World,OWID_WRL,2021-01-11,28041668.0,20178383.0,0.36,
